InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
578022,21621,VINTAGE UNION JACK BUNTING,1,22-11-2011 13:25,8.5,17371,United Kingdom,8.5
566055,23300,GARDENERS KNEELING PAD CUP OF TEA ,1,08-09-2011 15:05,1.65,15453,United Kingdom,1.65
569965,22604,SET OF 4 NAPKIN CHARMS CUTLERY,3,06-10-2011 18:47,2.55,18109,United Kingdom,7.65
575298,85053,FRENCH ENAMEL CANDLEHOLDER,4,09-11-2011 12:29,2.1,17841,United Kingdom,8.4
577536,22573,STAR WOODEN CHRISTMAS DECORATION,1,20-11-2011 14:14,0.85,15850,United Kingdom,0.85
574901,22692,DOORMAT WELCOME TO OUR HOME,2,07-11-2011 15:15,8.25,17158,United Kingdom,16.5
575340,22191,IVORY DINER WALL CLOCK,4,09-11-2011 14:31,8.5,15485,United Kingdom,34
568099,21231,SWEETHEART CERAMIC TRINKET BOX,4,23-09-2011 15:18,1.25,15916,United Kingdom,5
570167,23344,JUMBO BAG 50'S CHRISTMAS ,20,07-10-2011 14:04,2.08,15615,United Kingdom,41.6
566735,16162M,THE KING GIFT BAG 25x24x12cm,3,14-09-2011 14:19,0.42,15707,United Kingdom,1.26
580644,22154,ANGEL DECORATION 3 BUTTONS ,5,05-12-2011 13:10,0.42,16904,United Kingdom,2.1
566018,22911,PAPER CHAIN KIT LONDON,2,08-09-2011 12:42,2.95,13137,United Kingdom,5.9
566872,22383,LUNCH BAG SUKI DESIGN ,10,15-09-2011 13:28,1.65,16729,United Kingdom,16.5
580822,23084,RABBIT NIGHT LIGHT,1,06-12-2011 11:33,2.08,17884,United Kingdom,2.08
569528,23411, TRELLIS COAT RACK,2,04-10-2011 14:53,4.95,16242,United Kingdom,9.9
568991,22731,3D CHRISTMAS STAMPS STICKERS ,2,29-09-2011 16:44,1.25,18204,United Kingdom,2.5
573542,23265,SET OF 3 WOODEN TREE DECORATIONS,6,31-10-2011 13:03,1.25,14702,United Kingdom,7.5
579399,85014A,BLACK/BLUE POLKADOT UMBRELLA,1,29-11-2011 12:09,5.95,13137,United Kingdom,5.95
574896,22600,CHRISTMAS RETROSPOT STAR WOOD,1,07-11-2011 14:51,0.85,17014,United Kingdom,0.85
576079,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1,13-11-2011 16:24,1.25,16877,United Kingdom,1.25
572675,21943,CAKES AND RABBITS DESIGN FLANNEL ,2,25-10-2011 13:20,0.85,17917,United Kingdom,1.7
580735,23355,HOT WATER BOTTLE KEEP CALM,4,06-12-2011 08:52,4.95,17728,United Kingdom,19.8
566281,22121,NOEL WOODEN BLOCK LETTERS ,2,11-09-2011 14:15,5.95,12748,United Kingdom,11.9
581414,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,12,08-12-2011 14:39,0.42,14730,United Kingdom,5.04
580690,22757,LARGE RED BABUSHKA NOTEBOOK ,12,05-12-2011 15:44,0.39,16597,United Kingdom,4.68
569790,22196,SMALL HEART MEASURING SPOONS,1,06-10-2011 11:42,0.85,15910,United Kingdom,0.85
565327,21790,VINTAGE SNAP CARDS,12,02-09-2011 13:48,0.85,12832,United Kingdom,10.2
576053,21733,RED HANGING HEART T-LIGHT HOLDER,2,13-11-2011 14:53,2.95,16726,United Kingdom,5.9
574873,23131,MISTLETOE HEART WREATH CREAM,5,07-11-2011 13:01,4.15,16362,United Kingdom,20.75
571221,23469,CARD HOLDER LOVE BIRD SMALL,4,14-10-2011 13:35,4.15,16416,United Kingdom,16.6
570257,22998,TRAVEL CARD WALLET KEEP CALM,24,10-10-2011 09:56,0.42,13767,United Kingdom,10.08
578936,23336,EGG FRYING PAN PINK ,1,27-11-2011 13:00,2.08,16923,United Kingdom,2.08
575937,23215,JINGLE BELL HEART ANTIQUE SILVER,12,13-11-2011 11:24,2.08,12935,United Kingdom,24.96
577217,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,18-11-2011 11:53,1.25,17324,United Kingdom,15
572280,23337,EGG FRYING PAN MINT ,1,23-10-2011 11:05,2.08,16007,United Kingdom,2.08
578678,23403,LETTER HOLDER HOME SWEET HOME,1,24-11-2011 19:59,3.75,17841,United Kingdom,3.75
574511,22470,HEART OF WICKER LARGE,6,04-11-2011 13:26,2.95,15597,United Kingdom,17.7
576589,22470,HEART OF WICKER LARGE,6,15-11-2011 14:29,2.95,17659,United Kingdom,17.7
580974,22714,CARD BIRTHDAY COWBOY,12,06-12-2011 15:17,0.42,14293,United Kingdom,5.04
567128,21164,HOME SWEET HOME METAL SIGN ,6,16-09-2011 14:04,2.95,18055,United Kingdom,17.7
566396,23161,REGENCY CAKE FORK,12,12-09-2011 12:51,1.25,14292,United Kingdom,15
571039,23106,ZINC HEARTS PLANT POT HOLDER,2,13-10-2011 12:59,2.89,16121,United Kingdom,5.78
568991,23356,LOVE HOT WATER BOTTLE,1,29-09-2011 16:44,5.95,18204,United Kingdom,5.95
569693,90201C,RED ENAMEL FLOWER RING,1,05-10-2011 15:18,2.95,17837,United Kingdom,2.95
